Time,Interopolated #1,,Interopolated #2,,Start Bounds,,End Bounds,,Average,,Time Average,,Time Average Bounds,,Count,,Total,,Time
0,0,BR,0,BR,0,BR,11.30434783,GI,10,UC,10.65217391,UC,10.65217391,UC,1,GC,10,GC,0
5,11.30434783,GI,11.30434783,GI,11.30434783,GI,13.47826087,GI,0,BR,12.39130435,GC,12.39130435,GC,0,GC,0,GC,5
10,13.47826087,GI,13.47826087,GI,13.47826087,GI,15.65217391,GI,0,BR,14.56521739,GC,14.56521739,GC,0,GC,0,GC,10
15,15.65217391,GI,15.65217391,GI,15.65217391,GI,17.82608696,GI,0,BR,16.73913043,GC,16.73913043,GC,0,GC,0,GC,15
20,17.82608696,GI,17.82608696,GI,17.82608696,GI,20,GR,0,BR,18.91304348,GC,18.91304348,GC,0,GC,0,GC,20
25,20,GR,20,GR,20,GR,25.90909091,GI,22.5,GC,23.68181818,GC,23.68181818,GC,2,GC,45,GC,25
30,25.90909091,GI,25.90909091,GI,25.90909091,GI,28.18181818,GI,0,BR,27.04545455,GC,27.04545455,GC,0,GC,0,GC,30
35,28.18181818,GI,28.18181818,GI,28.18181818,GI,30,UI,30,GC,29.38383838,UC,29.27272727,UC,1,GC,30,GC,35
40,31.11111111,UI,31.11111111,UI,30,UI,0,BR,0,BR,33.88888889,UC,30,UC,0,GC,0,UC,40
45,36.66666667,UI,36.66666667,UI,0,BR,45,GI,40,UC,40,UC,42.5,UC,1,GC,40,GC,45
50,45,GI,45,GI,45,GI,51.5,GI,50,GC,49.45,GC,49.45,GC,1,GC,50,GC,50
55,51.5,GI,51.5,GI,51.5,GI,54,GI,0,BR,52.75,GC,52.75,GC,0,GC,0,GC,55
60,54,GI,54,GI,54,GI,56.5,GI,0,BR,55.25,GC,55.25,GC,0,GC,0,GC,60
65,56.5,GI,56.5,GI,56.5,GI,59,GI,0,BR,57.75,GC,57.75,GC,0,GC,0,GC,65
70,59,GI,59,GI,59,GI,60,UI,60,GC,60.61818182,UC,59.8,UC,1,GC,60,GC,70
75,62.72727273,UI,66,UI,60,UI,0,BR,0,BR,65,UC,60,UC,0,GC,0,UC,75
80,67.27272727,UI,70,UI,0,BR,76.66666667,GI,70,UC,70.51515152,UC,73.33333333,UC,1,GC,70,GC,80
85,76.66666667,GI,76.66666667,GI,76.66666667,GI,90,GR,80,GC,83.66666667,GC,83.66666667,GC,1,GC,80,GC,85
90,90,GR,90,GR,90,GR,0,BR,90,GC,96.25,UC,90,UC,1,GC,90,GC,90
95,102.5,UI,102.5,UI,0,BR,0,BR,0,BR,108.75,UC,0,BR,0,GC,0,GC,95
100,115,UI,115,UI,0,BR,0,BR,0,BR,117.5,UC,0,BR,0,GC,0,GC,100
,,,,,,,,,,,,,,,,,,,
