DateTime,-1,10000,0,0,0,0,1,0,1,100,100
2000,2000,0,0,,,DateTime,2013-10-18T16:24:13.000
25000,25000,0,0,,,DateTime,2013-10-18T17:25:13.000
28000,28000,0,0,,,DateTime,2013-10-18T18:26:13.575
39000,39000,0,0,,,DateTime,2013-10-18T19:24:13.575
42000,42000,0x80000000,0,,,Null
48000,48000,0,0,,,DateTime,2013-10-18T21:24:13.575
52000,52000,0,0,,,DateTime,2013-10-18T12:30:13.575
72000,72000,0,0,,,DateTime,2013-10-18T13:36:13.575
77000,77000,0x40000000,0,,,DateTime,2013-10-18T14:24:13.575
83000,83000,0,0,,,DateTime,2013-10-18T16:28:33.575
86000,86000,0,0,,,DateTime,2013-10-18T18:24:13.575
90000,90000,0,0,,,DateTime,2013-10-18T19:24:13.575
