ByteString,-1,10000,0,0,0,0,1,0,1,100,100
2000,2000,0,0,,,ByteString,00010203040506070809
25000,25000,0,0,,,ByteString,00102030405060708090
28000,28000,0,0,,,ByteString,01020304050607080900
39000,39000,0,0,,,ByteString,10203040506070809000
42000,42000,0x80000000,0,,,Null
48000,48000,0,0,,,ByteString,02030405060708090001
52000,52000,0,0,,,ByteString,20304050607080900010
72000,72000,0,0,,,ByteString,50607080900010203040
77000,77000,0x40000000,0,,,ByteString,03040506070809000102
83000,83000,0,0,,,ByteString,03040506070809001020
86000,86000,0,0,,,ByteString,00010050607080920304
90000,90000,0,0,,,ByteString,07080900010203040506
